Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Green,Inbound,BAL,Evening,9.260530940552233
Green,Inbound,BAL,Morning,9.331937511554816
Green,Inbound,BAW,Evening,13.10901866950254
Green,Inbound,BAW,Morning,12.185141365328002
Green,Inbound,BEE,Evening,9.298058833589876
Green,Inbound,BEE,Morning,9.428265052059755
Green,Inbound,BRD,Evening,14.639759219750077
Green,Inbound,BRD,Morning,17.60870646766169
Green,Inbound,BRI,Evening,13.074420843425875
Green,Inbound,BRI,Morning,12.270538057742783
Green,Inbound,CAB,Evening,18.026689189189188
Green,Inbound,CAB,Morning,18.77298245614035
Green,Inbound,CCK,Evening,13.129526421325783
Green,Inbound,CCK,Morning,12.183138824052461
Green,Inbound,CHA,Evening,9.280643010973234
Green,Inbound,CHA,Morning,9.516674435768946
Green,Inbound,CHE,Evening,13.121187070406837
Green,Inbound,CHE,Morning,12.25667248492542
Green,Inbound,COW,Evening,9.2780501865039
Green,Inbound,COW,Morning,9.406585134622677
Green,Inbound,CPK,Evening,13.333034825870646
Green,Inbound,CPK,Morning,12.463347578347577
Green,Inbound,DAW,Evening,9.277498552797358
Green,Inbound,DAW,Morning,9.642439320388348
Green,Inbound,DOM,Evening,14.671112464474218
Green,Inbound,DOM,Morning,17.705121527777777
Green,Inbound,DUN,Evening,9.271989788925438
Green,Inbound,DUN,Morning,9.342139664804469
Green,Inbound,GAL,Evening,13.254962273335767
Green,Inbound,GAL,Morning,12.406736715372407
Green,Inbound,GLE,Evening,13.36381734478039
Green,Inbound,GLE,Morning,12.37489946565306
Green,Inbound,GRA,Evening,14.642204466297889
Green,Inbound,GRA,Morning,17.573457300275482
Green,Inbound,HAR,Evening,9.316569080636878
Green,Inbound,HAR,Morning,9.531367841667644
Green,Inbound,KIL,Evening,9.272696629213483
Green,Inbound,KIL,Morning,9.242474054720953
Green,Inbound,LAU,Evening,13.078257236645777
Green,Inbound,LAU,Morning,12.185433683391677
Green,Inbound,LEO,Evening,13.133650201374083
Green,Inbound,LEO,Morning,12.21079425784281
Green,Inbound,MIL,Evening,9.228197771961614
Green,Inbound,MIL,Morning,9.380771001150748
Green,Inbound,OGP,Evening,9.328492621707351
Green,Inbound,OGP,Morning,9.831219323172308
Green,Inbound,OUP,Evening,14.709579278482257
Green,Inbound,OUP,Morning,17.181356660527932
Green,Inbound,PHI,Evening,15.602597573839663
Green,Inbound,PHI,Morning,17.844076013185962
Green,Inbound,RAN,Evening,9.297591719614674
Green,Inbound,RAN,Morning,9.435050723811695
Green,Inbound,SAN,Evening,9.288890596714145
Green,Inbound,SAN,Morning,9.206843703134716
Green,Inbound,STI,Evening,9.292372360057414
Green,Inbound,STI,Morning,9.217373593453164
Green,Inbound,STS,Evening,9.282854170929678
Green,Inbound,STS,Morning,9.616998151719704
Green,Inbound,WES,Evening,9.340386528106457
Green,Inbound,WES,Morning,9.743496086470369
Green,Inbound,WIN,Evening,9.23685582822086
Green,Inbound,WIN,Morning,9.352231751477033
Green,Outbound,BAL,Evening,8.461847918179616
Green,Outbound,BAL,Morning,10.98561290651963
Green,Outbound,BAW,Evening,14.059055841293167
Green,Outbound,BAW,Morning,14.973431911367006
Green,Outbound,BEE,Evening,8.455473870948342
Green,Outbound,BEE,Morning,10.692181250609696
Green,Outbound,BRD,Evening,14.205565068493149
Green,Outbound,BRD,Morning,15.473418904298219
Green,Outbound,BRO,Evening,13.96601870259922
Green,Outbound,BRO,Morning,15.622434557579377
Green,Outbound,CAB,Evening,14.120164787510841
Green,Outbound,CAB,Morning,15.490936952714534
Green,Outbound,CCK,Evening,14.070071251548947
Green,Outbound,CCK,Morning,15.010877425044093
Green,Outbound,CHA,Evening,8.457811557485824
Green,Outbound,CHA,Morning,10.597467583113971
Green,Outbound,CHE,Evening,20.262222222222224
Green,Outbound,CHE,Morning,18.503703703703703
Green,Outbound,COW,Evening,8.454459203036054
Green,Outbound,COW,Morning,10.860559335939385
Green,Outbound,CPK,Evening,14.103556302939712
Green,Outbound,CPK,Morning,15.145058728230053
Green,Outbound,DAW,Evening,8.440714932126696
Green,Outbound,DAW,Morning,10.515501325290193
Green,Outbound,DOM,Evening,14.247822202367656
Green,Outbound,DOM,Morning,15.547693498452013
Green,Outbound,DUN,Evening,8.451262557697529
Green,Outbound,DUN,Morning,10.933313289236319
Green,Outbound,GAL,Evening,14.083512088711142
Green,Outbound,GAL,Morning,14.979406428201141
Green,Outbound,GLE,Evening,14.041956760718211
Green,Outbound,GLE,Morning,15.069872273368167
Green,Outbound,GRA,Evening,14.205694205393
Green,Outbound,GRA,Morning,15.505949601089705
Green,Outbound,HAR,Evening,8.456632147681225
Green,Outbound,HAR,Morning,10.557949118078215
Green,Outbound,KIL,Evening,8.494551282051281
Green,Outbound,KIL,Morning,11.107887021621906
Green,Outbound,LAU,Evening,14.20037356321839
Green,Outbound,LAU,Morning,15.095843816978848
Green,Outbound,LEO,Evening,14.069699179580676
Green,Outbound,LEO,Morning,14.972786628362497
Green,Outbound,MAR,Evening,8.296994954045774
Green,Outbound,MAR,Morning,10.37063168507803
Green,Outbound,MIL,Evening,8.469675188790829
Green,Outbound,MIL,Morning,10.951020654960578
Green,Outbound,PAR,Evening,8.220759403832504
Green,Outbound,PAR,Morning,10.277543066322137
Green,Outbound,PHI,Evening,14.163639631866552
Green,Outbound,PHI,Morning,15.528992045013583
Green,Outbound,RAN,Evening,8.444290735400145
Green,Outbound,RAN,Morning,10.606813833701251
Green,Outbound,SAN,Evening,14.112539204616738
Green,Outbound,SAN,Morning,15.104001620089106
Green,Outbound,STI,Evening,14.023421845227118
Green,Outbound,STI,Morning,14.75342908298303
Green,Outbound,STS,Evening,8.43900241109102
Green,Outbound,STS,Morning,10.55574395930479
Green,Outbound,TRY,Evening,8.404195668986853
Green,Outbound,TRY,Morning,10.355497277917939
Green,Outbound,WIN,Evening,8.4636005356219
Green,Outbound,WIN,Morning,10.89152476022705
Red,Inbound,ABB,Evening,10.435512504859402
Red,Inbound,ABB,Morning,11.14690518783542
Red,Inbound,BEL,Evening,10.526705421511023
Red,Inbound,BEL,Morning,10.68554446373457
Red,Inbound,BLA,Evening,10.324412614650083
Red,Inbound,BLA,Morning,10.83776371308017
Red,Inbound,BLU,Evening,10.325389153904093
Red,Inbound,BLU,Morning,10.81845998131423
Red,Inbound,CIT,Evening,15.378300522744969
Red,Inbound,CIT,Morning,14.948582422033214
Red,Inbound,COO,Evening,15.601690951610003
Red,Inbound,COO,Morning,16.07752024574141
Red,Inbound,CVN,Evening,15.338578708319487
Red,Inbound,CVN,Morning,14.932926498508271
Red,Inbound,DRI,Evening,10.328297952994692
Red,Inbound,DRI,Morning,10.828880589107861
Red,Inbound,FAT,Evening,10.360707742127913
Red,Inbound,FAT,Morning,10.824640198511165
Red,Inbound,FET,Evening,15.345347291458957
Red,Inbound,FET,Morning,14.99242673240208
Red,Inbound,FOR,Evening,15.518844984802433
Red,Inbound,FOR,Morning,15.026152089211338
Red,Inbound,FOU,Evening,10.422387899130735
Red,Inbound,FOU,Morning,11.07538848392383
Red,Inbound,GDK,Evening,14.764595488136912
Red,Inbound,GDK,Morning,15.860661157024794
Red,Inbound,GOL,Evening,10.316349004659044
Red,Inbound,GOL,Morning,10.798080209334616
Red,Inbound,HOS,Evening,15.505063016079964
Red,Inbound,HOS,Morning,16.00755561709591
Red,Inbound,JAM,Evening,10.376388181355068
Red,Inbound,JAM,Morning,10.803772164603545
Red,Inbound,KIN,Evening,10.482367659222497
Red,Inbound,KIN,Morning,10.670840080474997
Red,Inbound,KYL,Evening,10.43259368836292
Red,Inbound,KYL,Morning,10.873377670294236
Red,Inbound,MUS,Evening,10.448394730110003
Red,Inbound,MUS,Morning,11.001586365678346
Red,Inbound,MYS,Evening,15.171089610688782
Red,Inbound,MYS,Morning,16.141191230850502
Red,Inbound,RED,Evening,10.46399079716453
Red,Inbound,RED,Morning,10.79956990851233
Red,Inbound,RIA,Evening,10.359412340009355
Red,Inbound,RIA,Morning,10.850950112261103
Red,Inbound,SAG,Evening,15.533491471817463
Red,Inbound,SAG,Morning,15.096190858059343
Red,Inbound,SDK,Evening,18.914367816091954
Red,Inbound,SDK,Morning,17.030874316939894
Red,Inbound,SMI,Evening,10.418749195727706
Red,Inbound,SMI,Morning,11.04209196563921
Red,Inbound,SUI,Evening,10.348658515877059
Red,Inbound,SUI,Morning,10.827023308514082
Red,Inbound,TAL,Evening,15.523716623600345
Red,Inbound,TAL,Morning,16.130144569494007
Red,Outbound,ABB,Evening,7.900072469827466
Red,Outbound,ABB,Morning,8.755614073586424
Red,Outbound,BEL,Evening,8.062316956547726
Red,Outbound,BEL,Morning,10.045259593679459
Red,Outbound,BLU,Evening,8.085252966706122
Red,Outbound,BLU,Morning,9.445199780368306
Red,Outbound,BUS,Evening,17.692720797720796
Red,Outbound,BUS,Morning,13.856694176983037
Red,Outbound,CIT,Evening,13.994945717732207
Red,Outbound,CIT,Morning,12.948598207008965
Red,Outbound,CON,Evening,17.699764492753623
Red,Outbound,CON,Morning,14.244300432037221
Red,Outbound,COO,Evening,14.0084450223378
Red,Outbound,COO,Morning,15.917189749496114
Red,Outbound,CVN,Evening,13.49156191301835
Red,Outbound,CVN,Morning,12.527589743589743
Red,Outbound,DRI,Evening,8.100414153236699
Red,Outbound,DRI,Morning,9.215538973904978
Red,Outbound,FET,Evening,13.58567092998049
Red,Outbound,FET,Morning,12.56187481931194
Red,Outbound,FOR,Evening,17.616312056737588
Red,Outbound,FOR,Morning,13.47543859649123
Red,Outbound,FOU,Evening,7.899041069082166
Red,Outbound,FOU,Morning,8.999396481931258
Red,Outbound,GDK,Evening,11.366776055485733
Red,Outbound,GDK,Morning,12.81884248698602
Red,Outbound,GOL,Evening,8.092515655105972
Red,Outbound,GOL,Morning,9.184164369832123
Red,Outbound,HEU,Evening,8.080800024169914
Red,Outbound,HEU,Morning,9.131109000237473
Red,Outbound,HOS,Evening,19.085632183908046
Red,Outbound,HOS,Morning,16.853005464480873
Red,Outbound,JAM,Evening,8.123403030303031
Red,Outbound,JAM,Morning,9.181038750253602
Red,Outbound,JER,Evening,7.896346207668626
Red,Outbound,JER,Morning,8.809223638894995
Red,Outbound,KIN,Evening,8.049825112107623
Red,Outbound,KIN,Morning,9.974730586004346
Red,Outbound,KYL,Evening,8.0871811185845
Red,Outbound,KYL,Morning,9.81401205243248
Red,Outbound,MUS,Evening,8.07510889292196
Red,Outbound,MUS,Morning,9.082750786438309
Red,Outbound,MYS,Evening,11.366981042878079
Red,Outbound,MYS,Morning,12.80102608695652
Red,Outbound,RED,Evening,8.074783422379184
Red,Outbound,RED,Morning,9.92105048305892
Red,Outbound,RIA,Evening,8.1432635000903
Red,Outbound,RIA,Morning,9.20298709280885
Red,Outbound,SDK,Evening,11.36662688383413
Red,Outbound,SDK,Morning,12.802198450134773
Red,Outbound,SMI,Evening,7.898740977001847
Red,Outbound,SMI,Morning,8.997478264073091
Red,Outbound,SUI,Evening,8.135333816468883
Red,Outbound,SUI,Morning,9.203547151155604
Red,Outbound,TPT,Evening,11.43919912513379
Red,Outbound,TPT,Morning,12.845053781418937
